posting_id,image,image_phash,title,label_group,title_original,caption_en,caption_vi
train_982236973,bf69ead3dadbf3ebe850b1d34314eafe.jpg,8ba76d16798031ed,beauryone sandal jepit wanita anti slip motif bunga manis untuk musim panas,3494512671,Beauryone Sandal Jepit Wanita Anti Slip Motif Bunga Manis untuk Musim Panas,Beauryone Sandals Women's Anti-Slip Motive Sweet Flowers for Summer,Beauryone Sandals Phụ nữ Anti-Slip Motive Hoa ngọt cho mùa hè
train_197769535,31803e68b56c10a0c745140122f9498f.jpg,bb49d03cf0868c7b,peel off mask 50gr mahira beauty,2207500054,PEEL OFF MASK 50GR MAHIRA BEAUTY,Peel Off Mask 50g of Mahira Beauty,Mặt nạ 50g của Mahira Beauty
train_3546911738,3a57eaa5664a8650ab01bd698f391dbe.jpg,bd54a4db275aa1c2,headset purebass jb01 handsfree stereo earphone,3282190523,Headset PureBass JB-01 Handsfree Stereo Earphone,PureBass JB-01 Handsfree Stereo Earphone,PureBass JB-01 tai nghe không dây
train_203722227,fcb828998b7c903fc1fdc9554f13ccc0.jpg,fb48ca91936c3c63,bantal leher bentuk u dapat ditiup untuk bepergian,400479462,Bantal Leher Bentuk U Dapat Ditiup Untuk Bepergian,U-shaped neck pants can be blown for running.,Quần áo cổ có hình dạng U có thể được bơm để chạy.
train_625566324,2190946de150c0f37167653eadc9b6a5.jpg,97e4e8c1c837461f,alat mesin cukur rambut atau kumis portable sonar sn 5802  6020,436669169,Alat Mesin Cukur Rambut atau kumis Portable Sonar SN 5802 / 6020,Portable Sonar Hair Cutting Machine SN 5802 / 6020,Máy cắt tóc Sonar SN 5802 / 6020
train_2785137660,01a3cbd7bba577517922af0a3067e4a6.jpg,fc178389c638c3a7,vitalis perfumed body wash 100ml,3714532676,Vitalis Perfumed Body Wash 100ml,Vitalis Perfumed Body Wash 100ml,Chế độ rửa cơ thể Vitalis 100ml
train_2131830770,ce2f14b00e042e4f9acde6a2ef47e203.jpg,a1671e9e33792d44,mybaby sepatu sneakers anti slip untuk lakilaki  perempuan,1770151159,Mybaby Sepatu Sneakers Anti Slip untuk Laki-Laki / Perempuan,Mybaby Sneakers Anti Slip Shoes for Men/Women,Mybaby Sneakers Giày chống trượt cho nam giới / nữ giới
train_2560722129,6ca8867d506ad5066f61e648e4d1ca0e.jpg,ea28096acc96b72f,mama lemon pouch 780ml,277181139,Mama Lemon Pouch 780ml,Lemon Pouch 780ml,Đồ chơi Lemon Pouch 780ml
train_71742324,9c60eb4a3c214d5caa1a92cab9257a14.jpg,9b6c64b1c6e6192d,link dress live streaming 1kg,3026223342,Link Dress Live Streaming 1kg,Link Dress Live Streaming 1kg,Trang phục trực tiếp Streaming 1kg
train_3760264656,f337d2111a81dc37d534789dd9e9cf8b.jpg,b151ea26c58b317b,64gr masker organik coffee by yoqueen beauty,1778775267,[64gr] Masker Organik Coffee by Yoqueen Beauty,Organic Coffee by Yoqueen Beauty,Cà phê hữu cơ của Yoqueen Beauty
train_2529443226,9800df6197389526d8d15ba7fbd849c8.jpg,a3dcdc23dd2122dc,little palmerhaus  mittens  booties  sarung tangan  kaki bayi,2784788129,Little Palmerhaus - Mittens & Booties - Sarung Tangan & Kaki Bayi,Little Palmerhaus - Mittens & Booties - Baby Handles & Footwear,Little Palmerhaus - Mittens & Booties - Trẻ em Handles & Giày dép
train_774674388,d2ac1f6863c50faaeaafd21498864eb2.jpg,afd1d16c1923669c,buku anak  belajar bahasa inggris untuk tk,1502042054,Buku Anak - Belajar Bahasa Inggris untuk TK,Children's Book - Learning English for TK,Sách trẻ em - Học tiếng Anh cho TK
train_3008115222,02a88e276871b5d7053e1a78604d27ea.jpg,cd39626699996636,chandrasurya tuspin bunga 7 hijab jarum jilbab aksesoris wanita korea muslim cantik,659856182,chandrasurya TUSPIN BUNGA 7 Hijab Jarum Jilbab Aksesoris Wanita Korea Muslim Cantik,Chandrasurya TUSPIN BUNGA 7 Hijab jar Jilbab Accessories Korean Muslim Women Beautiful,Chandrasurya TUSPIN BUNGA 7 Hijab jar Jilbab Phụ kiện Hàn Quốc Phụ nữ Hồi giáo Đẹp
train_232453704,d1ba3814507ade55bb85a80b6e972603.jpg,b065c7389ac7cf30,acnol lotion obat jerawat 10 ml,1746655739,Acnol Lotion Obat Jerawat 10 mL,Acnol Lotion 10ml,Chất lượng Acnol Lotion 10ml
train_3588501759,daa5d8b811f96f999ea6b2498f0e525d.jpg,935932c6645ce3b3,opp plastikplastik kaca lem 14x25 isi 100 lembar,2401169789,opp plastik/plastik kaca lem 14x25 (isi 100 lembar),Up plastic/plastic glass lem 14x25 (full of 100 sheets),Đèn nhựa / nhựa 14x25 (nhiều 100 lá)
train_3284124770,fc60e9f98c25fff66cda7d47573af33c.jpg,9cdea383a3016c5f,galuh set  setelan wanita,2163361025,GALUH SET / SETELAN WANITA,Women's Set / Women's Set,Phụ Nữ Set / Phụ Nữ Set
train_3487724923,2fb0b36ca39d6c8fafa693aad3b9ab12.jpg,e1b6126906ec36e7,hair clipper kemei km1318 baby clipper alat mesin cukur rambut cordless,1387579199,Hair Clipper Kemei KM-1318 Baby Clipper Alat Mesin Cukur Rambut Cordless,Hair Clipper T-shirt KM-1318 Baby Clipper Tool Hair Clipper Machine,T-shirt tóc Clipper KM-1318 Baby Clipper Công cụ tóc Clipper Máy
train_87681822,4554603cc212caea06e25c5bab81738d.jpg,c7bcb01bd470d616,toner cuka apel white glow,1766978745,Toner cuka apel white glow,Toner of apple white glow,Toner của quả táo trắng sáng
train_3266241204,0b2eb6a492b990c9ae5e71f831a93c01.jpg,bfe3c00ec4a63173,linpink x2 kids camera kamera mini anak  camera anak  camera kids,136544987,LINPINK X2 Kids camera Kamera Mini anak / camera anak / camera kids,LINPINK X2 Kids Camera / Kids Camera / Kids Camera,LINPINK X2 Camera trẻ em / Camera trẻ em / Camera trẻ em
train_2225768967,c9704446065315d74482645f2b66103c.jpg,eb96c84b8634b2e3,semprotan tanaman 2 litersemprotan disinfektansemprotan hama,534991775,Semprotan tanaman 2 liter/semprotan disinfektan/semprotan hama,2 liters of plant spray / disinfectant spray,2 lít phun thực vật / phun khử trùng
train_1343380721,0128d6733169314e72343b116c5b21b8.jpg,8d63f887e43c9346,masker hijab cantik bettina 3ply headloop,2192745501,Masker Hijab Cantik Bettina 3ply headloop,The Beauty of Bettina 3ply headloop,Vẻ đẹp của Bettina 3ply headloop
train_3802206980,3e01d8c392aad96c814e74e597b179ef.jpg,eb9436c93ec29836,cream hn 15 gr original plus serum gold,1920091538,Cream HN 15 gr original plus serum gold,Cream HN 15 gr original plus serum gold,Kem HN 15 gr nguyên bản cộng với vàng serum
train_967664541,d116055a5a9338696fe5edd8dab2e775.jpg,fa05a6b8e9c7c590,kaos anak karakter roar biru,1582743972,Kaos Anak Karakter Roar Biru,Child chaos character blue roar,Trẻ em chaos nhân vật blue roar
train_826470294,b94b06d04ba619c24d1c546e9ee1e457.jpg,bf9f80605a392d17,terkeren seri waistbag staye professional tas pinggang,1237550763,[Terkeren Se-RI] WAISTBAG Staye PROfessional Tas Pinggang,[Turked Se-RI] WAISTBAG Staye Professional Bag,[Turked Se-RI] WAISTBAG Staye túi chuyên nghiệp
train_2647030135,08560575f31626f395cce6e9d6af3954.jpg,e1ccc6739e989a98,proclin penghilang noda pouch 800 ml,3046232167,Proclin Penghilang Noda Pouch 800 ml,Proclin Disappearance Node 800ml,Proclin biến mất node 800ml
train_220652370,2bbcdf2ecf8d56bae644676db4953bfd.jpg,87fd019bc6047f4c,nuvo family sabun batang 76gr,1916852028,Nuvo Family Sabun Batang 76gr,Nuvo Family Sweatshirt 76g,Quần áo gia đình Nuvo 76g
train_510683765,bb88fcb57bd5df289ac3d912a660b590.jpg,bd3993444f0d9237,face shield kacamata anti virus anti fog premium,1322749330,FACE SHIELD KACAMATA ANTI VIRUS ANTI FOG PREMIUM,Face Shield Anti-FOG PREMIUM Virus,Tên sản phẩm: Face Shield Anti-FOG PREMIUM Virus
train_2952071547,a2ac19d338e78b547851b8cf53f6dc2b.jpg,bc1bc34e0e0e3c3d,power bank veger 25000 mah v16,4010770629,Power Bank VEGER 25000 mAh V16,Power Bank VEGER 25000 mAh V16,Tính năng Powerbank VEGER 25000 mAh V16
train_331436791,e36e2cf6bd36701e49f06061e6931b9e.jpg,a79ccecc20739897,kintakun selimut luxury lembut  mewah 190x210cm colourfull,1712162760,Kintakun Selimut Luxury Lembut & Mewah 190x210cm Colourfull,Luxury Soft & Luxury Coat 190x210cm Colourfull,Luxury Soft & Luxury Coat 190x210cm Màu sắc
train_2074210854,a3c5369fb6f0316db778a63040976111.jpg,9b9633349cb27698,speaker bluetoot cl671 lampu tidur,2258840093,SPEAKER BLUETOOT CL-671 LAMPU TIDUR,BLUETOOT SPEAKER CL-671,Máy phát điện Bluetooth CL-671
train_2744987924,2a6a52af223246625f0c84ceb2394fb7.jpg,c5e11a922a356d6f,kartu memori samsung 64gb memory card sd 64gb,2128654399,Kartu memori samsung 64GB Memory Card Sd 64GB,Samsung 64GB Memory Card 64GB,Samsung 64GB thẻ nhớ 64GB
train_590836001,dce4dab91112db6c4b5d518e21f10448.jpg,f6d98134b904b56b,spatula set 6 in 1  peralatan tumis masak centong  kitchen tool,2156459496,Spatula Set 6 In 1 - Peralatan Tumis Masak Centong - Kitchen Tool,Spatula Set 6 In 1 - Kitchen Tool,Spatula Set 6 In 1 - Công cụ bếp
train_1810723097,66bb940535ab04b9cb283b27dc64c481.jpg,ab683733cf98e205,sunglasses kacamata pria kaca mata anti uv  polarized kacamata new p7856 kaca mata fashion,3111468322,"Sunglasses Kacamata Pria, Kaca mata Anti UV & Polarized, Kacamata New P7856, Kaca mata Fashion","Men's Glasses, Anti UV & Polarized Glasses, New P7856, Fashion Glasses","Đàn ông kính, chống UV & Polarized kính, mới P7856, kính thời trang"
train_401673431,8b8c0401d48b8d3cef452d505f1662e8.jpg,b0cedb34d2cd2532,masagi kemasan 215gr  perbaiki pangkreasnya maka gula darah akan stabil herbal diabetes,762113799,"Masagi kemasan 215gr - Perbaiki Pangkreasnya Maka Gula Darah Akan Stabil, Herbal Diabetes,","Masagi package 215gr - Repair the pancreas So the blood sugar will be stable, Herbal Diabetes,","Gói Masagi 215gr - sửa chữa tuyến tụy để đường trong máu sẽ ổn định, bệnh tiểu đường thảo dược,"
train_1043145560,8577a69dccc58c4e4037315bbea08600.jpg,b8a7c7383870a7c3,tas selempang wanita elena,1957515419,TAS SELEMPANG WANITA ELENA,The Girlfriend of Elena,Người bạn gái của Elena
train_2169547851,1f59f430d148012d8c000da58f6c642b.jpg,b3cbcf649b640ce0,hcl dress yuki  bergo  dress muslim anak perempuan  busana muslim anak perempuan,3059956762,HCL Dress Yuki & Bergo - Dress Muslim Anak Perempuan - Busana Muslim Anak Perempuan,HCL Dress Yuki & Bergo - Muslim Girls Dress - Muslim Girls Dress,HCL Dress Yuki & Bergo - Cô gái Hồi giáo Dress - Cô gái Hồi giáo Dress
train_1414242216,62a1b9c0c1839a245c0b972ebec5023f.jpg,ef39b1e383c69190,cat acrylic colours 12 ml set12 free kuas dan pallet,3930259119,Cat Acrylic Colours 12 ml Set-12 Free Kuas dan Pallet,Color Acrylic Colours 12ml Set-12 Free Strong and Pallet,Màu sắc Acrylic 12ml Set-12 Free Strong và Pallet
train_1177465009,680dbad770b26a7df804c78c8d81c743.jpg,a1ea1efa6af26818,paperbag polos coklat ukuran 20x9x25 paperbag polos uk 20x9x25 minimal order 12pcs dan kelipatan 12,1829782350,Paperbag polos coklat ukuran 20x9x25 paperbag polos uk 20x9x25 MINIMAL ORDER 12pcs dan kelipatan 12,20x9x25 UK 20x9x25 MINIMAL ORDER 12pcs and shade 12,20x9x25 Vương quốc Anh 20x9x25 MINIMAL ORDER 12pcs and shade 12
